trade_date,score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,result
2021-12-02,-59,23.1,8.82,0.78,3.82,-1.89,0.99,0.97,-0.18,-2.03,LONG
2021-12-04,-59,23.56,7.46,0.49,3.67,-1.84,0.97,0.95,1.2,-1.99,SHORT
2021-12-04,-59,28.45,3.31,0.48,10.14,-5.08,0.92,0.85,0.35,-8.04,SHORT
2021-12-06,-59,44.77,4.3,0.57,11.23,-5.57,0.8,0.75,0.26,-6.43,LONG
2021-12-08,-3,41.98,3.06,0.77,5.11,2.52,0.82,0.84,2.89,-1.31,LONG
2021-12-09,45,33.73,9.75,0.43,10.06,4.54,0.86,0.91,5.89,-3.4,SHORT
2021-12-13,-59,30.26,11.54,0.99,5.83,-2.83,0.84,0.81,0.48,-2.97,SHORT
2021-12-16,-59,30.42,10.09,0.42,6.35,-2.97,0.81,0.78,0.81,-3.16,LONG
2021-12-17,47,27.49,10.07,0.36,4.07,2.05,0.8,0.82,2.5,-0.32,SHORT
2021-12-18,49,27.9,10.06,0.85,7.13,3.48,0.8,0.83,3.86,-0.7,SHORT
2021-12-20,59,17.82,13.57,0.72,3.66,1.78,0.83,0.85,1.82,-1.31,LONG
2021-12-22,59,9.07,16.51,0.51,10.94,4.94,0.88,0.93,5.28,-2.98,LONG
2021-12-23,59,1.36,21.69,0.87,5.46,2.64,0.95,0.98,2.99,-1.59,LONG
2021-12-24,17,3.4,26.17,0.51,8.65,-3.98,0.99,0.95,0.13,-4.17,SHORT
2021-12-26,-29,5.47,20.34,0.64,3.91,-1.89,0.93,0.91,0.88,-1.98,LONG
2021-12-27,25,6.82,19.63,0.82,3.08,1.53,0.92,0.94,1.63,-0.47,SHORT
2021-12-28,-41,6.76,19.8,0.83,4.54,-2.2,0.93,0.91,-0.42,-2.38,SHORT
2021-12-30,-31,21.11,9.55,0.37,6.42,3.24,0.82,0.85,3.57,-1.74,SHORT
