trade_date,score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,current_btc_rate,result
2021-12-10,-31,31.0,0.91,0.16,6.86,4.0,47539.34,49439.83,4.0,-0.11,4.0,SHORT
2021-12-11,-17,31.49,2.08,0.88,7.07,3.57,47132.31,48813.64,3.57,-0.72,3.57,LONG
2021-12-13,-31,22.26,9.35,0.69,4.36,-2.36,50057.02,48873.56,0.19,-2.36,-2.36,SHORT
2021-12-16,-59,25.02,8.56,0.32,5.15,-2.62,48324.0,47056.06,0.77,-2.62,-2.62,LONG
2021-12-17,-59,24.4,8.2,0.36,3.97,-2.11,47629.1,46624.55,0.74,-2.11,-2.11,SHORT
2021-12-19,17,24.17,8.29,0.64,4.12,2.04,46815.99,47769.55,2.04,-0.86,2.04,SHORT
2021-12-20,-59,21.98,7.81,0.93,4.4,-2.27,46668.65,45610.79,0.98,-2.27,-2.27,LONG
2021-12-21,47,18.8,7.82,0.89,4.29,2.31,46896.82,47979.09,2.31,-0.51,2.31,LONG
2021-12-24,59,7.7,7.34,0.74,2.41,1.27,48569.69,49187.37,1.27,-1.05,1.27,LONG
2021-12-26,-11,2.99,9.94,0.63,2.14,-1.21,50403.64,49793.85,0.49,-1.21,-1.21,LONG
2021-12-28,59,2.38,10.63,0.81,3.87,2.03,50765.73,51793.9,2.03,-0.62,2.03,SHORT
2021-12-28,-23,2.54,10.55,0.97,3.32,-1.74,50707.72,49823.57,-0.05,-1.74,-1.74,SHORT
2021-12-30,-31,11.61,2.83,0.49,4.47,2.29,46436.53,47499.99,2.29,-0.95,2.29,SHORT
