trade_date,score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,current_btc_rate,result
2021-11-22,-59,28.21,2.52,0.11,3.58,-1.82,0.23,0.22,-0.12,-1.92,-2.11,SHORT
2021-11-23,-59,31.57,1.95,0.43,4.91,-2.46,0.22,0.21,1.79,-2.66,-1.42,LONG
2021-11-24,-59,26.73,6.35,0.7,11.02,-5.06,0.23,0.21,1.39,-5.42,-2.49,LONG
2021-11-26,35,32.31,4.24,0.52,8.81,4.4,0.22,0.23,5.02,-1.27,3.35,SHORT
2021-11-26,-59,29.42,7.46,0.72,7.05,-3.34,0.22,0.21,0.23,-3.46,-3.05,SHORT
2021-11-28,-59,39.34,5.52,0.65,4.26,-2.05,0.2,0.2,-0.03,-2.18,-0.92,LONG
2021-11-29,29,34.8,7.2,0.86,8.34,3.96,0.21,0.22,4.41,-2.11,-0.36,SHORT
2021-11-30,53,27.17,10.54,0.66,11.04,5.05,0.22,0.23,5.69,-0.09,-1.22,SHORT
2021-12-02,-59,26.12,11.03,0.97,7.03,-3.4,0.21,0.21,1.83,-3.53,-0.51,LONG
2021-12-02,-59,27.43,9.26,0.59,6.1,-3.03,0.21,0.2,-0.05,-3.52,-2.44,LONG
2021-12-04,-59,25.03,9.59,0.98,10.67,-5.06,0.21,0.2,1.09,-5.48,-5.17,LONG
2021-12-04,-59,28.47,5.54,0.6,11.69,-5.78,0.2,0.19,0.27,-6.5,-4.81,SHORT
2021-12-06,-59,45.66,4.56,0.64,10.88,-5.36,0.17,0.16,0.69,-5.66,-3.18,LONG
2021-12-08,11,39.79,3.48,0.87,5.43,2.66,0.18,0.18,2.83,-1.76,0.02,SHORT
2021-12-09,-59,37.3,7.09,0.72,5.73,-2.74,0.18,0.17,1.59,-2.96,-3.56,SHORT
2021-12-12,-31,47.16,3.87,0.58,6.88,3.42,0.16,0.17,3.62,-1.63,4.48,SHORT
2021-12-13,-59,39.37,10.43,0.92,4.98,-2.42,0.17,0.17,0.43,-2.57,-2.08,SHORT
2021-12-14,43,48.16,5.68,0.36,11.31,5.75,0.16,0.17,10.48,-1.46,1.11,LONG
2021-12-17,-59,28.96,14.29,0.41,7.29,-3.67,0.17,0.17,1.93,-4.2,-1.98,LONG
2021-12-20,-59,25.49,12.99,0.48,3.31,-1.66,0.17,0.17,0.73,-2.15,-0.8,LONG
2021-12-21,39,23.34,10.89,0.77,5.73,2.82,0.17,0.17,2.99,-0.89,5.02,SHORT
2021-12-22,59,17.22,11.49,0.47,4.07,1.96,0.17,0.17,2.45,-0.58,0.36,SHORT
2021-12-23,59,11.2,10.25,0.79,6.09,2.92,0.17,0.18,4.04,-0.92,-0.24,LONG
2021-12-25,59,1.64,14.6,0.14,8.09,3.64,0.19,0.19,4.49,-2.97,0.12,SHORT
2021-12-25,59,1.73,15.45,0.93,8.95,4.26,0.19,0.19,4.47,-0.71,0.17,SHORT
2021-12-28,-17,4.05,17.06,0.72,3.62,-1.8,0.19,0.18,-0.2,-2.01,-0.9,SHORT
2021-12-30,-31,16.25,7.39,0.51,6.88,3.44,0.17,0.17,3.77,-1.62,1.52,SHORT
